"АГРИНОЛ ТОСОЛ А-38 GLight"	"10л."	"../image/cache/data/products/agrinol/10l-800x800.jpg,../image/cache/data/products/agrinol/10l-350x350.jpg"	"10l-800x800.jpg"	"Agrinol"	"agr78315"	
"АГРИНОЛ ТОСОЛ А-38 GLight"	"1л."	"../image/cache/data/products/agrinol/Agrinol_1l-800x800.jpg,../image/cache/data/products/agrinol/Agrinol_1l-350x350.jpg"	"Agrinol_1l-800x800.jpg"	"Agrinol"	"agr78317"	
"АГРИНОЛ ТОСОЛ А-38 GLight"	"5л."	"../image/cache/data/products/agrinol/agrinol_5l-800x800.jpg,../image/cache/data/products/agrinol/agrinol_5l-350x350.jpg"	"agrinol_5l-800x800.jpg"	"Agrinol"	"agr78316"	
"АГРИНОЛ ТОСОЛ А-40"	"10л."	"../image/cache/data/products/agrinol/10l-800x800.jpg,../image/cache/data/products/agrinol/10l-350x350.jpg"	"10l-800x800.jpg"	"Agrinol"	"agr78312"	Охлаждающая жидкость</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Описание&nbsp;</strong><br />Охлаждающую жидкость Тосол А-40 используют в южных районах с температурой окружающей среды не ниже, чем минус 38°С.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Области применения&nbsp;</strong><br />Жидкость может применяться, как в медных, так и в алюминиевых радиаторах.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Характеристики и преимущества</strong></p><p style="font-size: 13px; line-height: 20.8px;">Жидкость рассчитана на эксплуатацию без замены и добавления любых присадок на протяжении 60000 км или в течение 2-х лет. Жидкость необходимо заливать непосредственно в систему охлаждения.</p>
"АГРИНОЛ ТОСОЛ А-40"	"1л."	"../image/cache/data/products/agrinol/Agrinol_1l-800x800.jpg,../image/cache/data/products/agrinol/Agrinol_1l-350x350.jpg"	"Agrinol_1l-800x800.jpg"	"Agrinol"	"agr78314"	Охлаждающая жидкость</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Описание&nbsp;</strong><br />Охлаждающую жидкость Тосол А-40 используют в южных районах с температурой окружающей среды не ниже, чем минус 38°С.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Области применения&nbsp;</strong><br />Жидкость может применяться, как в медных, так и в алюминиевых радиаторах.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Характеристики и преимущества</strong></p><p style="font-size: 13px; line-height: 20.8px;">Жидкость рассчитана на эксплуатацию без замены и добавления любых присадок на протяжении 60000 км или в течение 2-х лет. Жидкость необходимо заливать непосредственно в систему охлаждения.</p>
"АГРИНОЛ ТОСОЛ А-40"	"220л."	"../image/cache/data/products/agrinol/200l-800x800.jpg,../image/cache/data/products/agrinol/200l-350x350.jpg"	"200l-800x800.jpg"	"Agrinol"	"agr78311"	Охлаждающая жидкость</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Описание&nbsp;</strong><br />Охлаждающую жидкость Тосол А-40 используют в южных районах с температурой окружающей среды не ниже, чем минус 38°С.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Области применения&nbsp;</strong><br />Жидкость может применяться, как в медных, так и в алюминиевых радиаторах.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Характеристики и преимущества</strong></p><p style="font-size: 13px; line-height: 20.8px;">Жидкость рассчитана на эксплуатацию без замены и добавления любых присадок на протяжении 60000 км или в течение 2-х лет. Жидкость необходимо заливать непосредственно в систему охлаждения.</p>
"АГРИНОЛ ТОСОЛ А-40"	"5л."	"../image/cache/data/products/agrinol/mkpp/tosol_a40_5l-800x800.jpg,../image/cache/data/products/agrinol/mkpp/tosol_a40_5l-350x350.jpg"	"tosol_a40_5l-800x800.jpg"	"Agrinol"	"agr78313"	Охлаждающая жидкость</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Описание&nbsp;</strong><br />Охлаждающую жидкость Тосол А-40 используют в южных районах с температурой окружающей среды не ниже, чем минус 38°С.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Области применения&nbsp;</strong><br />Жидкость может применяться, как в медных, так и в алюминиевых радиаторах.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Характеристики и преимущества</strong></p><p style="font-size: 13px; line-height: 20.8px;">Жидкость рассчитана на эксплуатацию без замены и добавления любых присадок на протяжении 60000 км или в течение 2-х лет. Жидкость необходимо заливать непосредственно в систему охлаждения.</p>
"Agrinol Aqua Moto 2T (Semisynt)"	"1л."	"../image/cache/no_image-800x800.jpg,../image/cache/no_image-350x350.jpg"	"no_image-800x800.jpg"	"Agrinol"	"agr50902"	
"Agrinol Aqua Moto 2T (Semisynt)"	"20л."	"../image/cache/no_image-800x800.jpg,../image/cache/no_image-350x350.jpg"	"no_image-800x800.jpg"	"Agrinol"	"agr50901"	
"АГРИНОЛ ATF IID"	"1л."	"../image/cache/data/products/agrinol/tr_atf_iid_1l-800x800.jpg,../image/cache/data/products/agrinol/tr_atf_iid_1l-350x350.jpg"	"tr_atf_iid_1l-800x800.jpg"	"Agrinol"	"agr21727"	<p>Полусинтетическое масло <strong>Agrinol ATF ІІD</strong> предназначено для использования в автоматических коробках передач, трансмиссиях, а также в гидроусилителях рулевого управления легковых и грузовых автомобилей, автобусов, тракторов, дорожной и строительной техники, специальной техники импортного и отечественного производства в соответствии с инструкциями производителей этих транспортных средств, где требуются масла соответствующие спецификациям GM Dexron IID, Mercon, Caterpillar TO-2, Volvo 97335.</p><h3>Преимущества</h3><ul><li>Бесшумная работа и плавное переключение передач даже при длительной работе в тяжелых условиях.</li><li>Защита от образования отложений, а также низкая испаряемость при высоких рабочих температурах.</li><li>Хорошие низкотемпературные свойства.</li><li>Надежная защита от износа и коррозии, высокие противопенные свойства.</li><li>Совместимость с материалами сальников и уплотнений, применяемых при производстве агрегатов трансмиссии.</li></ul>
